,userId,movieId,rating
12,12,0,3
15,15,0,3
17,17,0,4
21,21,0,2
28,28,0,4
29,29,0,1
30,30,0,5
34,34,0,2
39,39,0,4
40,40,0,4
48,48,0,4
55,55,0,4
56,56,0,5
59,59,0,3
65,65,0,4
73,73,0,3
76,76,0,2
89,89,0,4
94,94,0,1
96,96,0,3
99,99,0,4
103,103,0,5
107,107,0,4
108,108,0,3
114,114,0,4
122,122,0,3
123,123,0,3
126,126,0,4
130,130,0,4
132,132,0,5
133,133,0,2
137,137,0,4
139,139,0,4
142,142,0,4
145,145,0,4
146,146,0,4
154,154,0,3
155,155,0,4
159,159,0,1
161,161,0,5
172,172,0,5
174,174,0,3
187,187,0,3
195,195,0,4
199,199,0,3
201,201,0,4
204,204,0,3
205,205,0,3
206,206,0,5
207,207,0,2
209,209,0,4
211,211,0,3
213,213,0,4
215,215,0,4
217,217,0,3
226,226,0,3
227,227,0,5
228,228,0,2
231,231,0,1
233,233,0,4
239,239,0,2
242,242,0,3
243,243,0,4
249,249,0,4
251,251,0,5
252,252,0,5
256,256,0,3
260,260,0,2
269,269,0,3
271,271,0,4
274,274,0,5
277,277,0,5
280,280,0,2
284,284,0,4
292,292,0,3
299,299,0,3
309,309,0,4
312,312,0,5
318,318,0,3
320,320,0,3
332,332,0,4
344,0,1,4
349,9,1,3
350,347,1,2
357,352,1,1
359,354,1,3
363,18,1,4
365,19,1,2
367,360,1,4
374,367,1,2
376,369,1,3
377,370,1,3
382,374,1,3
384,376,1,4
385,377,1,2
386,378,1,3
389,381,1,4
394,386,1,3
398,390,1,2
407,399,1,4
408,400,1,3
413,405,1,3
416,407,1,4
417,408,1,2
421,412,1,4
425,59,1,2
433,421,1,5
439,427,1,4
447,435,1,3
457,444,1,5
460,447,1,4
466,453,1,4
468,455,1,4
469,456,1,4
472,459,1,5
478,464,1,5
482,468,1,3
485,471,1,4
495,481,1,4
499,109,1,3
503,488,1,4
506,491,1,4
522,505,1,4
523,506,1,4
526,509,1,5
528,511,1,4
530,513,1,5
532,515,1,2
535,518,1,5
536,519,1,4
540,523,1,4
542,525,1,3
546,529,1,4
553,536,1,4
554,537,1,3
555,135,1,1
556,538,1,3
565,547,1,4
567,549,1,2
573,554,1,4
575,556,1,4
576,557,1,4
592,168,1,2
593,572,1,3
596,574,1,3
599,577,1,1
606,581,1,5
607,181,1,5
618,592,1,4
622,595,1,3
623,596,1,3
626,599,1,5
627,600,1,4
637,609,1,3
641,613,1,4
646,618,1,3
655,626,1,3
660,631,1,4
665,636,1,2
672,643,1,4
677,648,1,3
688,658,1,2
690,221,1,3
693,662,1,3
695,664,1,4
701,670,1,3
704,673,1,5
707,676,1,3
712,681,1,4
713,682,1,4
714,683,1,3
718,687,1,3
719,688,1,3
720,689,1,4
725,694,1,5
727,696,1,4
730,699,1,4
733,702,1,3
744,712,1,5
747,714,1,2
749,716,1,4
755,721,1,5
758,724,1,3
782,745,1,3
789,752,1,5
790,753,1,4
792,754,1,4
796,758,1,3
800,762,1,3
806,292,1,3
808,768,1,3
809,769,1,4
811,771,1,4
818,778,1,3
822,782,1,4
823,783,1,4
828,788,1,4
832,791,1,4
833,792,1,2
837,796,1,3
846,804,1,4
874,830,2,3
881,836,2,2
885,838,2,5
890,843,2,3
895,847,2,3
897,849,2,3
908,858,2,4
913,365,2,4
915,864,2,4
924,872,2,2
930,878,2,5
936,883,2,2
946,891,2,3
952,897,2,3
957,901,2,5
960,904,2,3
963,907,2,3
967,46,2,3
976,918,2,2
979,921,2,4
984,926,2,3
985,927,2,5
987,928,2,4
991,932,2,3
992,933,2,3
994,935,2,4
998,65,2,5
1002,939,2,5
1016,72,2,4
1032,963,2,3
1034,965,2,2
1035,80,2,2
1036,443,2,5
1047,975,2,3
1050,976,2,4
1052,978,2,3
1059,982,2,4
1060,983,2,3
1063,985,2,5
1070,991,2,5
1079,998,2,4
1082,1000,2,2
1099,1015,2,5
1108,108,2,2
1110,1023,2,4
1123,1034,2,3
1124,1035,2,3
1130,1041,2,3
1135,1045,2,3
1142,1052,2,4
1145,1055,2,5
1147,1056,2,2
1148,1057,2,3
1151,1060,2,2
1152,1061,2,4
1153,1062,2,4
1160,1068,2,3
1164,1071,2,1
1180,1086,2,5
1191,1096,2,3
1196,1101,2,2
1213,1116,2,4
1215,1118,2,2
1226,1128,2,5
1233,1135,2,4
1235,552,2,5
1237,1138,2,4
1240,1139,2,3
1241,1140,2,5
1243,1142,2,1
1247,1146,2,4
1254,154,2,3
1258,1154,2,3
1259,161,2,2
1260,569,2,4
1265,165,2,3
1266,1159,2,4
1274,1167,2,1
1278,168,2,5
1280,1172,2,3
1296,1184,2,4
1300,1187,2,3
1311,1194,2,3
1312,1195,2,3
1326,1203,2,1
1330,1207,2,2
1334,1209,2,4
1335,1210,2,4
1339,1214,2,4
1341,1216,2,3
1342,1217,2,3
1345,1219,2,4
1349,1223,2,4
1350,619,2,2
1353,1226,2,5
1367,1237,2,4
1368,1238,2,3
1370,1239,2,3
1373,1242,2,4
1375,1244,2,5
1379,1248,2,2
1391,655,2,3
1393,1258,2,3
1405,1267,2,3
1407,1269,2,4
1408,227,2,5
1410,1271,2,5
1425,1281,2,5
1426,1282,2,3
1430,237,2,3
1431,1286,2,4
1434,1288,2,2
1436,1290,2,4
1442,1295,2,3
1443,1296,2,3
1446,1299,2,3
1452,1305,2,3
1454,1307,2,2
1455,1308,2,4
1462,1313,2,3
1467,1316,2,5
1484,1328,2,3
1491,1335,2,3
1509,1349,2,5
1512,1351,2,2
1515,1354,2,3
1518,1357,2,3
1520,1358,2,3
1524,1362,2,3
1526,1364,2,1
1529,1366,2,3
1536,1371,2,5
1537,1372,2,4
1541,285,2,3
1544,1378,2,5
1545,1379,2,5
1546,288,2,4
1548,289,2,3
1549,1381,2,1
1556,1387,2,3
1568,1398,2,3
1569,1399,2,5
1570,1400,2,3
1572,299,2,4
1573,1402,2,4
1579,303,2,3
1584,308,2,5
1599,1420,2,3
1600,1421,2,4
1610,1431,2,3
1611,1432,2,5
1612,1433,2,3
1622,1443,2,3
1628,1448,2,5
1641,1458,2,5
1642,1459,2,3
1643,1460,2,3
1649,1466,2,3
1650,1467,2,5
1658,1474,2,5
1662,1478,2,4
1663,1479,3,3
1664,1480,3,2
1665,1481,3,1
1671,1487,3,5
1690,834,3,2
1695,1504,3,4
1698,1507,3,2
1700,1509,3,5
1703,1512,3,5
1706,1515,3,5
1708,1517,3,5
1709,1518,3,3
1712,1520,3,3
1716,1523,3,3
1718,1525,3,3
1725,843,3,5
1735,1541,3,5
1738,1543,3,5
1744,1548,3,3
1745,1549,3,5
1746,1550,3,5
1750,1554,3,5
1753,1557,3,5
1776,1575,3,5
1778,856,3,5
1779,18,3,5
1784,1579,3,3
1787,1581,3,5
1798,21,3,3
1801,1593,3,2
